Platform,size,GPU,PKG,seconds
sac-gen-bool, 512, 6.60, 15.76, 0.28361448
sac-gen-bool, 512, 6.68, 16.57, 0.28289676
sac-gen-bool, 512, 6.79, 16.28, 0.28352099
sac-gen-bool, 512, 6.73, 16.46, 0.28621568
sac-gen-bool, 512, 6.68, 16.38, 0.28741348
sac-gen-bool, 512, 6.67, 16.30, 0.28371777
sac-gen-bool, 512, 6.72, 16.32, 0.28550897
sac-gen-bool, 512, 6.59, 15.85, 0.28467845
sac-gen-bool, 512, 6.72, 16.11, 0.28638437
sac-gen-bool, 512, 6.70, 17.11, 0.28887234
sac-gen-bool, 512, 6.66, 16.01, 0.28774750
sac-gen-bool, 512, 6.65, 17.06, 0.28084566
sac-gen-bool, 512, 6.64, 16.50, 0.28090218
sac-gen-bool, 512, 6.68, 16.36, 0.28423394
sac-gen-bool, 512, 6.63, 16.41, 0.28758821
sac-gen-bool, 512, 6.64, 16.16, 0.28392340
sac-gen-bool, 512, 6.85, 16.66, 0.28131719
sac-gen-bool, 512, 6.75, 16.62, 0.28581345
sac-gen-bool, 512, 6.59, 16.53, 0.28643574
sac-gen-bool, 512, 6.79, 16.71, 0.28566322
sac-gen-bool, 512, 7.10, 16.94, 0.28822199
sac-gen-bool, 512, 7.26, 17.05, 0.28617780
sac-gen-bool, 512, 7.20, 16.61, 0.28698078
sac-gen-bool, 512, 7.16, 16.82, 0.28554586
sac-gen-bool, 512, 7.16, 16.61, 0.28522973
sac-gen-bool, 512, 7.04, 16.89, 0.28733679
sac-gen-bool, 512, 6.92, 16.81, 0.28429014
sac-gen-bool, 512, 6.62, 16.18, 0.28294469
sac-gen-bool, 512, 6.65, 18.71, 0.28323759
sac-gen-bool, 512, 6.56, 16.58, 0.28280818
sac-gen-bool, 1024, 8.70, 22.70, 0.38442462
sac-gen-bool, 1024, 8.73, 22.66, 0.37937262
sac-gen-bool, 1024, 8.75, 22.30, 0.36861976
sac-gen-bool, 1024, 8.67, 22.94, 0.37747312
sac-gen-bool, 1024, 8.77, 22.39, 0.37964542
sac-gen-bool, 1024, 8.77, 23.45, 0.38490940
sac-gen-bool, 1024, 8.83, 22.41, 0.39180445
sac-gen-bool, 1024, 8.72, 22.44, 0.38334002
sac-gen-bool, 1024, 8.93, 22.19, 0.38085975
sac-gen-bool, 1024, 8.86, 23.50, 0.38802174
sac-gen-bool, 1024, 8.73, 22.74, 0.38150154
sac-gen-bool, 1024, 8.76, 22.82, 0.38229415
sac-gen-bool, 1024, 8.77, 22.66, 0.39262714
sac-gen-bool, 1024, 8.73, 22.49, 0.38650745
sac-gen-bool, 1024, 8.67, 22.54, 0.38730151
sac-gen-bool, 1024, 8.73, 22.78, 0.38114835
sac-gen-bool, 1024, 9.16, 22.94, 0.39874264
sac-gen-bool, 1024, 8.74, 22.67, 0.37757294
sac-gen-bool, 1024, 9.00, 22.06, 0.38351691
sac-gen-bool, 1024, 9.08, 22.88, 0.38197155
sac-gen-bool, 1024, 9.37, 22.91, 0.38298418
sac-gen-bool, 1024, 9.44, 25.17, 0.38724432
sac-gen-bool, 1024, 9.47, 22.56, 0.38637269
sac-gen-bool, 1024, 9.49, 22.45, 0.39240565
sac-gen-bool, 1024, 9.25, 22.41, 0.38363931
sac-gen-bool, 1024, 9.21, 22.96, 0.38659922
sac-gen-bool, 1024, 9.23, 22.53, 0.38349952
sac-gen-bool, 1024, 9.41, 22.33, 0.39736326
sac-gen-bool, 1024, 9.32, 22.13, 0.38091358
sac-gen-bool, 1024, 9.33, 22.31, 0.37670387
sac-gen-bool, 2048, 14.04, 35.53, 0.58644212
sac-gen-bool, 2048, 13.53, 35.40, 0.57566300
sac-gen-bool, 2048, 13.59, 37.31, 0.58619415
sac-gen-bool, 2048, 13.58, 36.08, 0.57532936
sac-gen-bool, 2048, 14.09, 35.62, 0.57678739
sac-gen-bool, 2048, 14.00, 35.02, 0.59385195
sac-gen-bool, 2048, 14.30, 35.74, 0.58219009
sac-gen-bool, 2048, 13.45, 35.49, 0.57665310
sac-gen-bool, 2048, 13.17, 35.48, 0.58550818
sac-gen-bool, 2048, 13.22, 35.38, 0.57570409
sac-gen-bool, 2048, 13.89, 37.03, 0.58189826
sac-gen-bool, 2048, 14.15, 35.26, 0.58418267
sac-gen-bool, 2048, 14.17, 36.81, 0.58084757
sac-gen-bool, 2048, 13.91, 38.34, 0.57962118
sac-gen-bool, 2048, 13.87, 36.39, 0.57776077
sac-gen-bool, 2048, 14.17, 36.38, 0.57452257
sac-gen-bool, 2048, 14.20, 36.43, 0.57447248
sac-gen-bool, 2048, 14.03, 35.85, 0.58314434
sac-gen-bool, 2048, 13.59, 37.73, 0.59915322
sac-gen-bool, 2048, 13.63, 36.54, 0.57504367
sac-gen-bool, 2048, 14.24, 36.45, 0.57208066
sac-gen-bool, 2048, 14.38, 35.91, 0.58189488
sac-gen-bool, 2048, 14.31, 36.39, 0.57801540
sac-gen-bool, 2048, 13.56, 35.79, 0.57440189
sac-gen-bool, 2048, 13.32, 33.74, 0.58611098
sac-gen-bool, 2048, 13.27, 32.87, 0.58043917
sac-gen-bool, 2048, 13.33, 35.96, 0.57918692
sac-gen-bool, 2048, 13.18, 34.71, 0.58107939
sac-gen-bool, 2048, 13.19, 34.83, 0.58597592
sac-gen-bool, 2048, 13.22, 34.78, 0.58325644
